id,names
Анестезиологические,"Анестезиологические и респираторные медицинские изделия
"
Анестезиологические,Анестезиологические системы и сопутствующие изделия
Алгезиметры,Алгезиметры
Анализаторы,Анализаторы анестезиологических и респираторных газов
Анализаторы,Анализаторы газов крови и сопутствующие изделия
Анализаторы,Анализаторы дыхательной функции и сопутствующие изделия
Анализаторы,Анализаторы офтальмологические
Анализаторы,Анализаторы физиологических параметров гастроэнтерологические
Анализаторы,Анализаторы физиологических параметров акушерские/гинекологические
Анализаторы,"Анализаторы ИВД
"
Анализаторы,Анализаторы биохимические
Анализаторы,Анализаторы газов крови/гемоксиметры
Анализаторы,Анализаторы гематологические
Анализаторы,Анализаторы иммуногематологические
Анализаторы,Анализаторы иммунохимические
Анализаторы,Анализаторы коагулологические
Анализаторы,Анализаторы микробиологические
Анализаторы,Анализаторы мочи
Анализаторы,Анализаторы ПЦР
Анализаторы,Анализаторы сенсорных функций
Анализаторы,Анализаторы физиологических параметров нейрологические
Бронхоскопы,Бронхоскопы
Вентиляторы,Вентиляторы респираторные и сопутствующие изделия
Детекторы,Детекторы пищеводной интурбации
Детекторы,Детекторы зубного кариеса  и сопутствующие изделия
Иглы,Иглы анестезиологичекие
Иглы,Иглы эндотерапевтические
Иглы,Иглы для пневмоперитонеума
Ингаляторы,Ингаляторы
Испарители,Испарители анестезиологические и сопутствующие изделия
Канюли,Канюли респираторные
Канюли,Канюли офтальмологические
Канюли,Канюли стоматологические
Канюли,Канюли эндотерапевтические
Канюли,Канюли оториноларингологические
Катетеры,Катетеры анестезиологические и сопутствующие изделия
Катетеры,Катетеры кардиологические  и сопутствующие изделия
Катетеры,Катетеры урологические  и сопутствующие изделия
Катетеры,Катетеры гастроэнтерологические и сопутствующие изделия
Катетеры,Катетеры перитонеальные и сопутствующие изделия
Катетеры,Катетеры внутриматочные  и сопутствующие изделия
Катетеры,Катетеры назальные и сопутствующие изделия
Катетеры,Катетеры оториноларингологические
Катетеры,Катетеры нейрологические и сопутствующие изделия
Магистрали,Магистрали дыхательные и сопутствующие изделия
Маски,Маски респираторные/анестезиологические и сопутствующие изделия
Мониторы/системы,Мониторы/системы мониторирования анестизиологические/респираторные
Мониторы/системы,Мониторы/системы мониторирования кардиологические и сопутствующие изделия и
Мониторы/системы,Мониторы/системы мониторирования  акушерские
Мониторы/системы,Мониторы/системы мониторирования нейрологические
Наборы,Наборы анестезиологические
Наборы,Наборы для имплантации ортопедические
Наборы,Наборы хирургические ортопедические
Наборы,Наборы офтальмологические хирургические
Наборы,Наборы инфузионные и сопутствующие изделия
Наборы,Наборы хирургические стоматологические
Наборы,Наборы хирургические нефроскопические
Наборы,Наборы хирургические урологические
Наборы,Наборы для подкожных инъекций
Наборы,Наборы для акушерских/гинекологических хирургических процедур
Наборы,Наборы для амниоцентеза
Наборы,Наборы хирургические оториноларингологические
Оборудование,Оборудование для подведения анестезиологических и респираторных газов
Оксиметры,Оксиметры и сопутствующие изделия
Очистители,Очистители воздуха
Пульмонологические,Пульмонологические катетеры
Системы,Системы вентиляции легких и сопутствующие изделия
Системы,Системы спинальной фиксации и сопутствующие изделия
Системы,Системы экстракорпоральной ортопедической ударно-волновой терапии и сопутствующие изделия
Системы,Системы для трепанации роговицы и сопутствующие изделия
Системы,Системы криохирургические офтальмологические
Системы,Системы факоэмульсификации/витректомии и сопутствующие изделия
Системы,Системы позиционирования пациентов и сопутствующие изделия
Системы,"Системы радиологические диагностические и сопутствующие изделия
"
Системы,Системы компьютерной томографии и сопутствующие изделия
Системы,Системы костной абсорбциометрии и сопутствующие изделия
Системы,Системы магнито-резонансной томографии и сопутствующие изделия
Системы,Системы маммографии и сопутствующие изделия
Системы,Системы радионуклидные диагностические и сопутствующие изделия
Системы,Системы рентгеновские ангиографические и сопутствующие изделия
Системы,Системы рентгеновские общего назначения и сопутствующие изделия
Системы,Системы рентгеновские скрининговые и сопутствующие изделия
Системы,Системы рентгеновские стоматологические и сопутствующие изделия
Системы,Системы рентгеновской флюорографии и сопутствующие изделия
Системы,Системы ультразвуковой визуализации и сопутствующие изделия
Системы,Системы цифровой радиографии
Системы,"Системы радиологические терапевтические и сопутствующие изделия
"
Системы,Системы брахитерапии сопутствующие изделия
Системы,Системы рентгеновские терапевтические и сопутствующие изделия
Системы,Системы ультразвуковые терапевтические сопутствующие изделия
Системы,Системы удаленной радионуклидной терапии сопутствующие изделия
Системы,Системы протонной терапии и сопутствующие изделия
Системы,Системы ангиопластики и сопутствующие изделия
Системы,Системы для компрессии бедренной артерии и сопутствующие изделия
Системы,Системы для эмболоэктомии/тромбэктомии и сопутствующие изделия
Системы,Системы искусственного кровообращения и сопутствующие изделия
Системы,Системы компрессии вен и сопутствующие изделия
Системы,Системы лазерные стоматологические
Системы,Системы гемодиализа  и сопутствующие изделия
Системы,Системы литотрипсии  и сопутствующие изделия
Системы,Системы диатермической терапии  и сопутствующие изделия
Системы,Системы абляции  и сопутствующие изделия
Системы,Системы криохирургические  и сопутствующие изделия
Системы,Системы лазерные хирургические
Системы,Системы хирургические ультразвуковые  и сопутствующие изделия
Системы,Системы шейверные  и сопутствующие изделия
Системы,Системы электрохирургические диатермические  и сопутствующие изделия
Системы,Системы ионофореза и сопутствующие изделия
Системы,Системы мониторинга уровня глюкозы и сопутствующие изделия
Системы,Системы операционных столов
Системы,Системы подъема/перемещения пациентов
Системы,Системы тепловой/криотерапиии и сопутствующие изделия
Системы,Системы консервирования/транспортировки донорских органов
Системы,Системы терапии поверхности кожи и сопутствующие изделия
Системы,Системы терапии ран и сопутствующие изделия
Системы,Системы экстракорпоральной ударно-волновой терапии и сопутствующие изделия
Системы,Системы дерматологические лазерные
Системы,Системы дерматологические не лазерные и сопутствующие изделия
Системы,Системы кожного контурирования и сопутствующие изделия
Системы,Системы обезболивающей электростимуляции
Системы,Системы электростимуляции диафрагмального нерва
Системы,Системы электростимуляции периферических нервов
Системы,Системы электростимуляции центральной нервной системы
Стенты,Стенты бронхиальные
Стенты,Стенты урологические
Стенты,Стенты билиарные/панкреатические
Стенты,Стенты пищеводные
Стенты,Стенты вагинальные
Стетоскопы,Стетоскопы пищеводные
Устройства,Устройства систем искусственной вентиляции
Устройства,Устройства коммуникации и информации адаптированные
Устройства,Устройства манипуляции/фиксации предметов адаптированные
Устройства,Устройства обучения бытовым навыкам адаптированные
Устройства,Устройства обучения навыкам работы адаптированные
Устройства,Устройства управления внешней средой адаптированные
Устройства,Устройства для локализации вен
Устройства,Устройства позиционирования пациентов
Устройства,Устройства стомирования и сопутствующие изделия
Устройства,Устройства дренирования/удаления жидкостей/тканей
Устройства,Устройства для облегчения носового дыхания
Устройства,Устройства оптической визуализации оториноларингологические и сопутствующие изделия
Прочие,Прочие анестезиологические и респираторные медицинские изделия
Прочие,Прочие ортопедические медицинские изделия
Прочие,Прочие офтальмологические медицинские изделия
Прочие,Прочие радиологические медицинские изделия
Прочие,Прочие реабилитационные и адаптационные медицинские изделия
Прочие,Прочие сердечно-сосудистые медицинские изделия
Прочие,Прочие стоматологические медицинские изделия
Прочие,Прочие урологические медицинские изделия
Прочие,Прочие физиотерапевтические медицинские изделия
Прочие,Прочие хирургические инструменты/системы и сопутствующие медицинские изделия
Прочие,Прочие эндоскопические медицинские изделия
Прочие,Прочие вспомогательные и общебольничные медицинские изделия
Прочие,Прочие гастроэнтерологические медицинские изделия
Прочие,Прочие медицинские изделия для акушерства и гинекологии
Прочие,Прочие анализаторы ИВД
Прочие,Прочие медицинские изделия для манипуляций/восстановления тканей/органов человека
Прочие,Прочие медицинские изделия для отоларингологии
Прочие,"Прочие медицинские изделия для пластической хирургии, дерматологии и косметологии"
Прочие,Прочие нейрологические медицинские изделия
Ортопедические,"Ортопедические медицинские изделия
"
Артроскопы,Артроскопы и сопутствующие изделия
Гвозди,Гвозди костные и сопутствующие изделия
Гвозди,Гвозди
Дистракторы,Дистракторы костные и сопутствующие изделия
Иммобилизаторы,Иммобилизаторы суставов
Инструменты,Инструменты для имплантирования ортопедических протезов
Инструменты,Инструменты для формирования резьбы в костном канале
Инструменты,Инструменты для введения пломбировочного материала
Инструменты,Инструменты для извлечения камней
Кейджи,Кейджи костные
Материалы,Материалы иммобилизирующие и сопутствующие изделия
Материалы,Материалы стоматологические  и сопутствующие изделия
Материалы,Материалы для реконструкции тканей
Направители,Направители ортопедические
Направители,Направители
Операционные,Операционные столы ортопедические
Операционные,Операционные столы офтальмологические
Операционные,Операционные столы урологичекие
Операционные,Операционные столы универсальные
Операционные,Операционные столы проктологические
Ортезы,Ортезы ортопедические
Подвесы,Подвесы для рук
Протезы,Протезы суставов имплантируемые и сопутствующие изделия
Протезы,Протезы интраокулярные и сопутствующие изделия
Протезы,Протезы сердечно-сосудистые  и сопутствующие изделия
Протезы,Протезы зубные  и сопутствующие изделия
Протезы,Протезы стоматологические и сопутствующие изделия
Протезы,Протезы пениса
Расширители,Расширители ортопедические
Расширители,Расширители  и сопутствующие изделия
Расширители,Расширители пищевода
Расширители,Расширители цервикального канала
Тракционные,Тракционные системы и сопутствующие изделия
Фиксирующие,Фиксирующие системы ортопедические
Цементы,Цементы ортопедическиеи сопутствующие изделия
Офтальмологические,"Офтальмологические медицинские изделия
"
Офтальмологические,Офтальмологические лазерные системы
Диоптриметры,Диоптриметры
Кератомы,Кератомы и сопутствующие изделия
Кератомы,Кератомы
Кольца,Кольца офтальмологические
Крючки,Крючки офтальмологические
Крючки,Крючки хирургические
Линзы,Линзы диагностические офтальмологические
Линзы,Линзы интраокулярные  и сопутствующие изделия
Линзы,Линзы контактные и сопутствующие изделия
Линзы,Линзы очковые и сопутствующие изделия
Линзы,Линзы экстраокулярные увеличительные
Ножи,Ножи офтальмологические
Ножницы,Ножницы офтальмологические
Ножницы,Ножницы хирургические
Ножницы,Ножницы эндотерапевтические
Ножницы,Ножницы акушерские/гинекологические
Ножницы,Ножницы оториноларингологические
Офтальмоскопы,Офтальмоскопы и сопутствующие изделия
Пинцеты,Пинцеты офтальмологические
Средства,Средства защиты глазной поверхности
Средства,Средства медицинские персональные адаптированные
Средства,Средства передвижения адаптированные
Средства,Средства ухода персональные адаптированные
Средства,Средства внутри вагинальные
Тонометры,Тонометры офтальмологические и сопутствующие изделия
Эндоскопы,Эндоскопы для слёзных каналов
Эндоскопы,Эндоскопы офтальмологические
Эндоскопы,Эндоскопы урологические
Эндоскопы,Эндоскопы
Эндоскопы,Эндоскопы гастроэнтерологические
Эндоскопы,Эндоскопы акушерские/гинекологические
Эндоскопы,Эндоскопы нейрологические
Радиологические,"Радиологические медицинские изделия
"
Гентри,Гентри и сопутствующие изделия
Измерители,Измерители излучения
Коллиматоры,Коллиматоры и и сопутствующие изделия
Кресла,Кресла пациентов для радиологической диагностики/терапии
Кресла,Кресла стоматологические
Модули,Модули передвижные радиологические
Пленки,Пленки рентгеновские и сопутствующие изделия
Маркеры,Маркеры патологических зон систем визуализации
Программное,Программное обеспечение рентгеновских систем
Программное,Программное обеспечение ИВД
Сетки,Сетки радиографические
Сетки,Сетки хирургические гинекологические
Сетки,Сетки хирургические и сопутствующие изделия
Цефалометрические,Цефалометрические рентгеновские системы и сопутствующие изделия
Ускорители,Ускорители и сопутствующие изделия
Среды,Среды контрастирующие и сопутствующие изделия
Среды,Среды питательные ИВД
Столы,Столы радиологические
Столы,Столы для физиотерапии
Столы,Столы смотровые/терапевтические
Столы,Столы акушерские
Столы,Столы операционные гинекологические
Фантомы,Фантомы
Экраны/защиты/ограничители,Экраны/защиты/ограничители излучения
Реабилитационные,"Реабилитационные и адаптированные для инвалидов медицинские изделия
"
Изделия,Изделия бытовые адаптированные
Изделия,Изделия для отдыха/развлечений адаптированные
Изделия,Изделия для моделирования поверхности пломбы
Изделия,Изделия для удаления зубного камня
Изделия,Изделия ортодонтические
Изделия,Изделия для сбора/обработки/транспортирования биологических жидкостей/тканей
Изделия,Изделия хирургические нейрологические
Изделия/оборудование,Изделия/оборудование домашнее адаптированные
Протезы/ортезы,Протезы/ортезы внешние
Сердечно-сосудистые,"Сердечно-сосудистые медицинские изделия
"
Ангиоскопы,Ангиоскопы
Артериоскопы,Артериоскопы
Внутрисосудистые,Внутрисосудистые фильтры и сопутствующие изделия
Гемостатические,Гемостатические средства
Дефибриляторы,Дефибриляторы и сопутствующие изделия
Жгуты/манжеты,Жгуты/манжеты кроостанавливающие и сопутствующие изделия
Имплантаты,Имплантаты эмболизирующие и сопутствующие изделия
Имплантаты,Имплантаты стоматологические и сопутствующие изделия
Имплантаты,Имплантаты для медиализации голосовых связок
Имплантаты,Имплантаты кохлеарные и сопутствующие изделия
Имплантаты,Имплантаты грудные и сопутствующие изделия
Инфузионные/аспирационные,Инфузионные/аспирационные катетеры
Кардиостимуляторы,Кардиостимуляторы и сопутствующие изделия
Медицинские,Медицинские изделия для анализа гемодинамики
Медицинские,Медицинские изделия для кардиореанимации
Медицинские,Медицинские изделия для определения физиологических параметров/картирования сердца
Медицинские,Медицинские изделия для сердечно-сосудистой хирургии
Медицинские,"Медицинские изделия для акушерства и гинекологии
"
Медицинские,"Медицинские изделия для in vitro диагностики (ИВД)
"
Медицинские,"Медицинские изделия для манипуляций/восстановления тканей/органов человека
"
Медицинские,"Медицинские изделия для отоларингологии
"
Медицинские,"Медицинские изделия для пластической хирургии, дерматологии и косметологии
"
Отведения,Отведения кардиостимуляторов/дефибриляторов и сопутствующие изделия
Стоматологические,"Стоматологические медицинские изделия
"
Аппликаторы,Аппликаторы стоматологические
Аппликаторы,Аппликаторы адгезивов/клеев хирургические
Аппликаторы,Аппликаторы клипс/зажимов  и сопутствующие изделия
Бормашины,Бормашины и сопутствующие изделия
Зонды,Зонды стоматологические
Зонды,Зонды хирургические
Осветители,Осветители стоматологические
Осветители,Осветители операционные
Повязки,Повязки стоматологические
Повязки,Повязки и сопутствующие изделия
Рашпили,Рашпили стоматологические
Рашпили,Рашпили
Ретракторы,Ретракторы стоматологические
Системы/консоли,Системы/консоли подвода коммуникаций
Стоматоскопы,Стоматоскопы
Шины,Шины стоматологические
Шины,Шины назальные
Шприцы,Шприцы стоматологические и сопутствующие изделия
Щипцы,Щипцы стоматологические
Щипцы,Щипцы  и сопутствующие изделия
Щипцы,Щипцы эндотерапевтические
Урологические,"Урологические медицинские изделия
"
Барьеры,Барьеры уретральные  для лечения недержания мочи у женщин
Бужи,Бужи уретральные
Бужи,Бужи
Презервативы,Презервативы мужские
Презервативы,Презервативы женские
Физиотерапевтические,"Физиотерапевтические медицинские изделия
"
Ванны,Ванны терапевтические
Ванны,Ванны
Массажеры,Массажеры  и сопутствующие изделия
Пакеты,Пакеты холодовой/термической терапии  и сопутствующие изделия
Тренажеры,Тренажеры реабилитационные
Хирургические,"Хирургические инструменты/системы и сопутствующие медицинские изделия
"
Аппроксиматоры,Аппроксиматоры
Буры,Буры  и сопутствующие изделия
Видиокамеры,Видиокамеры хирургические  и сопутствующие изделия
Винты,Винты
Губки,Губки хирургические
Депрессоры,Депрессоры
Дерматомы,Дерматомы  и сопутствующие изделия
Диссекторы,Диссекторы
Долото,Долото  и сопутствующие изделия
Дрели,Дрели хирургические  и сопутствующие изделия
Дренажи,Дренажи хирургические
Зажимы,Зажимы хирургические
Кусачки,Кусачки
Кюретки,Кюретки
Лигаторы,Лигаторы  и сопутствующие изделия
Лигаторы,Лигаторы эндотерапевтические
Манипуляторы,Манипуляторы хирургические
Микроскопы,Микроскопы хирургические
Напильники,Напильники
Ножи/скальпели,Ножи/скальпели хирургические
Ножи/скальпели,Ножи/скальпели оториноларингологические
Остеотомы,Остеотомы  и сопутствующие изделия
Отверки,Отверки хирургические
Перфораторы,Перфораторы
Выкусыватели,Выкусыватели хирургические
Петли,Петли хирургические  и сопутствующие изделия
Пилы,Пилы  и сопутствующие изделия
Развертки/римеры,Развертки/римеры  и сопутствующие изделия
Распаторы,Распаторы
Ретракторы/петли,Ретракторы/петли  и сопутствующие изделия
Совки/скребки,Совки/скребки
Степлеры,Степлеры и сопутствующие изделия
Степлеры,Степлеры эндоскопические
Уплотнители,Уплотнители хирургические  и сопутствующие изделия
Трепаны,Трепаны  и сопутствующие изделия
Трокары,Трокары  и сопутствующие изделия
Шпатели,Шпатели хирургические
Экскаваторы,Экскаваторы
Экстракторы,Экстракторы хирургические
Элеваторы,Элеваторы
Электрокаутеры,Электрокаутеры  и сопутствующие изделия
Эндоскопические,"Эндоскопические медицинские изделия
"
Видеокамеры,Видеокамеры эндоскопические и сопутствующие изделия
Клапаны,Клапаны эндоскопические
Лапараскопы,Лапараскопы и сопутствующие изделия
Ларингоскопы,Ларингоскопы и сопутствующие изделия
Расширительные,Расширительные системы/ирригаторы эндоскопические и сопутствующие изделия
Резектоскопы,Резектоскопы и сопутствующие изделия
Электроды,Электроды диатермических электрохирургических эндотерапевтических систем
Электроды,Электроды фетальные
Вспомогательные,"Вспомогательные и общебольничные медицинские изделия
"
Бахилы,Бахилы
Держатели,Держатели предметных стекол
Инкубаторы,Инкубаторы лабораторные
Инкубаторы,Инкубаторы для новорожденных и сопутствующие изделия
Инфузионные,Инфузионные насосы и сопутствующие изделия
Инъекторы,Инъекторы лекарственных средств/вакцин
Камеры,Камеры лабораторные
Комплексы,Комплексы передвижные медицинские
Консоли/системы,Консоли/системы подвода коммуникаций
Контейнеры,Контейнеры опасных медицинских отходов
Кровати,Кровати медицинские и сопутствующие изделия
Ламинарные,Ламинарные системы
Ланцеты,Ланцеты
Матрасы,Матрасы медицинские и сопутствующие изделия
Мебель,Мебель медицинская
Мешки,Мешки медицинские для прачечной
Моющие,Моющие машины
Носилки,Носилки
Носки/стельки,Носки/стельки медицинские
Ограничители/фиксаторы,Ограничители/фиксаторы
Одеяла,Одеяла медицинские
Перчатки,Перчатки
Печи,Печи
Пипетки,Пипетки и сопутствующие изделия
Подушки,Подушки медицинские
Покрывала,Покрывала медицинских столов
Полотенцы,Полотенцы медицинские и и сопутствующие изделия
Прокладки,Прокладки для молочной железы
Размельчители,Размельчители медицинских отходов
Раковины/мойки,Раковины/мойки медицинские
Растворы/газы,Растворы/газы для санитарной обработки/обслуживания медицинских изделий  и сопутствующие изделия
Роторы,Роторы центрифужные
Сосуды/контейнеры,Сосуды/контейнеры медицинские широкогорлые
Стерилизаторы,Стерилизаторы и сопутствующие изделия
Стойки/держатели,Стойки/держатели для инфузионных растворов и сопутствующие изделия
Стойки/штативы,Стойки/штативы
Тележки,Тележки медицинские
Термометры,Термометры медицинские
Транспортеры,Транспортеры
Халаты,Халаты медицинские
Холодильные/морозильные,Холодильные/морозильные камеры и сопутствующие изделия
Центрифуги,Центрифуги
Чехлы,Чехлы медицинские
Чехлы,Чехлы медицинские
Шкафы/боксы,Шкафы/боксы медицинские
Щетки/губки,Щетки/губки для предоперационной обработки рук и сопутствующие изделия
Гастроэнтерологические,"Гастроэнтерологические медицинские изделия
"
Детоксиканты,Детоксиканты гастроэнтерологические
Ингибиторы,Ингибиторы всасывания питательных веществ
Мониторы/мониторные,Мониторы/мониторные системы гастроэнтерологические
Рестрикторы,Рестрикторы желудочные и сопутствующие изделия
Трубки,Трубки гастроэнтерологические и сопутствующие изделия
Зеркала,Зеркала вагинальные
Колпачки,Колпачки цервикальные
Контрацептивы,Контрацептивы внутриматочные
Пессарии,Пессарии
Емкости/контейнеры,"Емкости/контейнеры для проб ИВД
"
Емкости,Емкости для проб кала
Емкости,Емкости для проб крови
Емкости,Емкости для проб мочи
Емкости,Емкости для проб универсальные
Емкости,Емкости для секреторных проб
Емкости,Емкости для цитологических образцов
Реагенты/наборы,"Реагенты/наборы для определения аналитов ИВД
"
Реагенты/наборы,Реагенты/наборы для анализа инфекционных агентов
Реагенты/наборы,Реагенты/наборы для биохимического анализа
Реагенты/наборы,Реагенты/наборы для гематологического анализа
Реагенты/наборы,Реагенты/наборы для генетического анализа
Реагенты/наборы,Реагенты/наборы для гистологического/цитологического анализа
Реагенты/наборы,Реагенты/наборы для иммуногематологического анализа
Реагенты/наборы,Реагенты/наборы для коагулологического анализа
Реагенты/наборы,Реагенты/наборы для определения микробных изолятов ИВД
Реагенты/наборы,Реагенты/наборы для типирования тканей
Экспресс-тесты,Экспресс-тесты
Реагенты/оборудование/расходные,Реагенты/оборудование/расходные материалы общелабораторные ИВД
Адгезивы/клеи,Адгезивы/клеи тканевые
Нагреватели,Нагреватели крови/жидкости и сопутствующие изделия
Облучатели,Облучатели крови
Сшивающие,Сшивающие аппараты и сопутствующие изделия
Трансплантаты,Трансплантаты и сопутствующие изделия
Шовные,Шовные материалы и сопутствующие изделия
Аппараты,Аппараты слуховые и сопутствующие изделия
Аудиометры,Аудиометры и сопутствующие изделия
Воронки,Воронки ушные
Декомпрессоры,Декомпрессоры среднего уха
Маскеры,Маскеры тиннитуса и сопутствующие изделия
Растворы,Растворы ушные и сопутствующие изделия
Ринометры/риноманометры,Ринометры/риноманометры
Нити,Нити для косметической хирургии
Повязки/одежда,Повязки/одежда для лечения рубцов
Эпиляторы,Эпиляторы и сопутствующие изделия
Нейрологические,"Нейрологические медицинские изделия
"
Локаторы,Локаторы нервов и сопутствующие изделия
Эстезиометры,Эстезиометры
